HOME_TEAM,AWAY,HOME_WIN,DRAW,AWAY_WIN,O_0.5,U_0.5,O_1.5,U_1.5,O_2.5,U_2.5,O_3.5,U_3.5,O_4.5,U_4.5,O_5.5,U_5.5,HOME_GOALS,AWAY_GOALS
TOT,MUN,2.4,3.63,2.79,1.02,12.96,1.28,3.58,1.94,1.84,3.52,1.29,7.52,1.08,18.72,0.01,1,2
BUR,ARS,4.05,3.55,1.92,1.04,9.8,1.39,2.39,2.28,1.61,4.53,1.19,10.72,1.03,29.76,0.01,6,4
EVE,MCI,2.9,3.37,2.45,1.05,9.42,1.41,2.85,2.34,1.58,4.71,1.18,11.28,1.03,31.66,0.01,0,0
FOR,LUT,2.3,3.6,2.97,1.02,12.2,1.3,3.43,2,1.79,3.69,1.27,8.05,1.07,20.38,0.01,1,0
NEW,BRE,1.69,4.1,4.68,1.01,14.76,1.24,3.94,1.82,1.96,3.18,1.34,6.54,1.1,15.65,0.01,2,3
SHU,AST,4.02,3.9,1.84,1.01,14.04,1.26,3.79,1.86,1.91,3.3,1.32,6.9,1.09,16.76,0.01,0,0
BHA,FUL,1.87,3.73,4.03,1.03,11.73,1.32,3.33,2.05,1.75,3.8,1.25,8.47,1.06,21.84,0.01,1,1
BOU,CRY,2.05,3.61,3.52,1.03,11.38,1.33,3.26,2.08,1.73,3.93,1.24,8.81,1.06,23.01,0.01,1,1
WOL,WHU,2.05,3.68,3.43,1.02,12.45,1.29,3.48,1.98,1.8,3.64,1.27,7.89,1.07,19.94,0.01,3,1
LIV,CHE,1.79,4.12,4.04,0.01,17.5,1.2,4.46,1.69,2.14,2.82,1.42,5.51,1.14,12.48,1.02,1,0
